rank1,rank2,rank3,rank4,rank5,count
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Michael Blake,,738
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Michael Blake,Zellnor Myrie,737
Zohran Kwame Mamdani,Zellnor Myrie,,,,732
Andrew M. Cuomo,,,,,706
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Adrienne E. Adams,Scott M. Stringer,695
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,689
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,,,683
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Zellnor Myrie,Scott M. Stringer,671
Zohran Kwame Mamdani,Brad Lander,Andrew M. Cuomo,,,666
Zohran Kwame Mamdani,Paperboy Love Prince,,,,659
Zellnor Myrie,,,,,654
Zohran Kwame Mamdani,Michael Blake,Brad Lander,Adrienne E. Adams,Zellnor Myrie,647
Brad Lander,Adrienne E. Adams,,,,643
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Zellnor Myrie,,642
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,625
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Paperboy Love Prince,619
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Michael Blake,Paperboy Love Prince,607
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Zellnor Myrie,Paperboy Love Prince,603
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Michael Blake,Scott M. Stringer,599
Brad Lander,Scott M. Stringer,,,,567
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,,562
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,Jessica Ramos,558
Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,,,558
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,549
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,547
Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,,,543
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,,540
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Michael Blake,Adrienne E. Adams,528
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Michael Blake,520
Michael Blake,,,,,519
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Jessica Ramos,515
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Jessica Ramos,Adrienne E. Adams,512
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,,,508
Scott M. Stringer,Andrew M. Cuomo,,,,506
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Adrienne E. Adams,,503
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Adrienne E. Adams,Michael Blake,498
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Michael Blake,,490
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Zellnor Myrie,486
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,480
Zohran Kwame Mamdani,Michael Blake,,,,475
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,Adrienne E. Adams,472
Andrew M. Cuomo,Adrienne E. Adams,Michael Blake,,,471
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,,,466
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,466
Adrienne E. Adams,Zohran Kwame Mamdani,,,,465
Candidate Write-in,,,,,463
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Scott M. Stringer,Michael Blake,461
Zohran Kwame Mamdani,Andrew M. Cuomo,Adrienne E. Adams,,,461
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Zellnor Myrie,,457
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Michael Blake,Jessica Ramos,455
Whitney R. Tilson,Andrew M. Cuomo,,,,453
Zohran Kwame Mamdani,Adrienne E. Adams,Andrew M. Cuomo,,,451
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,,,450
Andrew M. Cuomo,Paperboy Love Prince,,,,446
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Michael Blake,Paperboy Love Prince,446
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,,439
Andrew M. Cuomo,Scott M. Stringer,Whitney R. Tilson,,,437
Brad Lander,Adrienne E. Adams,Scott M. Stringer,,,436
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Scott M. Stringer,433
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Adrienne E. Adams,Zellnor Myrie,431
Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,424
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Whitney R. Tilson,420
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Scott M. Stringer,Adrienne E. Adams,416
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Adrienne E. Adams,Paperboy Love Prince,415
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Michael Blake,Brad Lander,412
Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,,,409
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,Michael Blake,402
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,,397
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,396
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Adrienne E. Adams,Jessica Ramos,395
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Zohran Kwame Mamdani,395
Brad Lander,Scott M. Stringer,Adrienne E. Adams,,,393
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Paperboy Love Prince,,392
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,,389
Adrienne E. Adams,Brad Lander,,,,388
Andrew M. Cuomo,Zohran Kwame Mamdani,Jessica Ramos,,,384
