rank1,rank2,rank3,rank4,rank5,count
Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Whitney R. Tilson,Adrienne E. Adams,6
Andrew M. Cuomo,Brad Lander,Jessica Ramos,Adrienne E. Adams,Paperboy Love Prince,6
Andrew M. Cuomo,Jessica Ramos,Zohran Kwame Mamdani,Whitney R. Tilson,,6
Adrienne E. Adams,Brad Lander,Zellnor Myrie,Michael Blake,Whitney R. Tilson,6
Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Whitney R. Tilson,Andrew M. Cuomo,6
Zellnor Myrie,Andrew M. Cuomo,Whitney R. Tilson,,,6
Zohran Kwame Mamdani,Jessica Ramos,Selma K. Bartholomew,Brad Lander,Scott M. Stringer,6
Andrew M. Cuomo,Brad Lander,Michael Blake,Jessica Ramos,Zellnor Myrie,6
Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,Jessica Ramos,Whitney R. Tilson,6
Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,Michael Blake,Selma K. Bartholomew,6
Andrew M. Cuomo,Zohran Kwame Mamdani,Selma K. Bartholomew,Brad Lander,Scott M. Stringer,6
Zohran Kwame Mamdani,Jessica Ramos,Andrew M. Cuomo,Adrienne E. Adams,Michael Blake,6
Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,Andrew M. Cuomo,Adrienne E. Adams,6
Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,Jessica Ramos,Whitney R. Tilson,6
Andrew M. Cuomo,Zohran Kwame Mamdani,Jessica Ramos,Paperboy Love Prince,Selma K. Bartholomew,6
Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,Brad Lander,Candidate Write-in,6
Brad Lander,Scott M. Stringer,Zellnor Myrie,Jessica Ramos,Michael Blake,6
Zohran Kwame Mamdani,Andrew M. Cuomo,Selma K. Bartholomew,Brad Lander,,6
Scott M. Stringer,Zellnor Myrie,Brad Lander,Andrew M. Cuomo,Adrienne E. Adams,6
Andrew M. Cuomo,Michael Blake,Scott M. Stringer,Jessica Ramos,,6
Zohran Kwame Mamdani,Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,Michael Blake,6
Andrew M. Cuomo,Selma K. Bartholomew,Jessica Ramos,Zohran Kwame Mamdani,Michael Blake,6
Andrew M. Cuomo,Jessica Ramos,Selma K. Bartholomew,Zellnor Myrie,Whitney R. Tilson,6
Zohran Kwame Mamdani,Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,Paperboy Love Prince,6
Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Whitney R. Tilson,6
Zellnor Myrie,Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,6
Zohran Kwame Mamdani,Brad Lander,Candidate Write-in,Paperboy Love Prince,,6
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,Zellnor Myrie,6
Scott M. Stringer,Brad Lander,Zellnor Myrie,Whitney R. Tilson,Andrew M. Cuomo,6
Jessica Ramos,Brad Lander,Andrew M. Cuomo,,,6
Andrew M. Cuomo,Whitney R. Tilson,Adrienne E. Adams,Jessica Ramos,Paperboy Love Prince,6
Andrew M. Cuomo,Selma K. Bartholomew,Zohran Kwame Mamdani,Scott M. Stringer,Zellnor Myrie,6
Zohran Kwame Mamdani,Adrienne E. Adams,Selma K. Bartholomew,Zellnor Myrie,Paperboy Love Prince,6
Andrew M. Cuomo,Jessica Ramos,Zellnor Myrie,Scott M. Stringer,,6
Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,Selma K. Bartholomew,Michael Blake,6
Zohran Kwame Mamdani,Michael Blake,Scott M. Stringer,Zellnor Myrie,Andrew M. Cuomo,6
Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Paperboy Love Prince,Scott M. Stringer,6
Zohran Kwame Mamdani,Scott M. Stringer,Michael Blake,Adrienne E. Adams,Selma K. Bartholomew,6
Andrew M. Cuomo,Paperboy Love Prince,Whitney R. Tilson,Jessica Ramos,Michael Blake,6
Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Andrew M. Cuomo,Scott M. Stringer,6
Zohran Kwame Mamdani,Jessica Ramos,Paperboy Love Prince,Brad Lander,,6
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Andrew M. Cuomo,Paperboy Love Prince,6
Brad Lander,Zellnor Myrie,Jessica Ramos,Andrew M. Cuomo,Zohran Kwame Mamdani,6
Brad Lander,Zellnor Myrie,Scott M. Stringer,Andrew M. Cuomo,Whitney R. Tilson,6
Brad Lander,Scott M. Stringer,Andrew M. Cuomo,Adrienne E. Adams,Paperboy Love Prince,6
Brad Lander,Zellnor Myrie,Andrew M. Cuomo,Adrienne E. Adams,Whitney R. Tilson,6
Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,Paperboy Love Prince,6
Whitney R. Tilson,Scott M. Stringer,Andrew M. Cuomo,Brad Lander,Zellnor Myrie,6
Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,Brad Lander,Michael Blake,6
Zohran Kwame Mamdani,Paperboy Love Prince,Brad Lander,Adrienne E. Adams,Whitney R. Tilson,6
Andrew M. Cuomo,Whitney R. Tilson,Brad Lander,Jessica Ramos,Adrienne E. Adams,6
Andrew M. Cuomo,Jessica Ramos,Whitney R. Tilson,Selma K. Bartholomew,Brad Lander,6
Andrew M. Cuomo,Whitney R. Tilson,Zellnor Myrie,Michael Blake,Brad Lander,6
Michael Blake,Zohran Kwame Mamdani,Jessica Ramos,,,6
Jessica Ramos,Scott M. Stringer,Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,6
Andrew M. Cuomo,Selma K. Bartholomew,Jessica Ramos,Whitney R. Tilson,Scott M. Stringer,6
Andrew M. Cuomo,Selma K. Bartholomew,Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,6
Michael Blake,Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,6
Andrew M. Cuomo,Jessica Ramos,Paperboy Love Prince,Selma K. Bartholomew,Zellnor Myrie,6
Zohran Kwame Mamdani,Michael Blake,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,6
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Paperboy Love Prince,Zellnor Myrie,6
Zohran Kwame Mamdani,Zellnor Myrie,Jessica Ramos,Paperboy Love Prince,Whitney R. Tilson,6
Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,Zellnor Myrie,6
Brad Lander,,,,,6
Zohran Kwame Mamdani,Scott M. Stringer,Andrew M. Cuomo,Zellnor Myrie,Brad Lander,6
Adrienne E. Adams,Michael Blake,Andrew M. Cuomo,,,6
Adrienne E. Adams,Zohran Kwame Mamdani,Michael Blake,Jessica Ramos,Brad Lander,6
Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,Whitney R. Tilson,Selma K. Bartholomew,6
Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Paperboy Love Prince,Whitney R. Tilson,6
Zohran Kwame Mamdani,Paperboy Love Prince,Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,6
Zohran Kwame Mamdani,Adrienne E. Adams,Andrew M. Cuomo,Michael Blake,Selma K. Bartholomew,6
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Michael Blake,Whitney R. Tilson,6
Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,Zellnor Myrie,Paperboy Love Prince,6
Adrienne E. Adams,Brad Lander,Michael Blake,Andrew M. Cuomo,Zellnor Myrie,6
Adrienne E. Adams,Zohran Kwame Mamdani,Jessica Ramos,Selma K. Bartholomew,Scott M. Stringer,6
Zohran Kwame Mamdani,Andrew M. Cuomo,Scott M. Stringer,Paperboy Love Prince,,6
Scott M. Stringer,Brad Lander,Zellnor Myrie,Jessica Ramos,Adrienne E. Adams,6
Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,Michael Blake,,6
Andrew M. Cuomo,Selma K. Bartholomew,Scott M. Stringer,Michael Blake,Brad Lander,6
Adrienne E. Adams,Jessica Ramos,Michael Blake,Scott M. Stringer,Brad Lander,6
Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,6
Brad Lander,Adrienne E. Adams,Michael Blake,Scott M. Stringer,Andrew M. Cuomo,6
Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,Paperboy Love Prince,Andrew M. Cuomo,6
Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,Michael Blake,6
Brad Lander,Adrienne E. Adams,Michael Blake,Andrew M. Cuomo,Scott M. Stringer,6
Zohran Kwame Mamdani,Andrew M. Cuomo,Scott M. Stringer,Zellnor Myrie,Paperboy Love Prince,6
Zellnor Myrie,Scott M. Stringer,Brad Lander,Andrew M. Cuomo,,6
Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Selma K. Bartholomew,Michael Blake,6
Zellnor Myrie,Adrienne E. Adams,Michael Blake,Scott M. Stringer,Zohran Kwame Mamdani,6
Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Michael Blake,,6
Andrew M. Cuomo,Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,Paperboy Love Prince,6
Zohran Kwame Mamdani,Selma K. Bartholomew,Scott M. Stringer,Adrienne E. Adams,Whitney R. Tilson,6
Adrienne E. Adams,Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Whitney R. Tilson,6
Zohran Kwame Mamdani,Jessica Ramos,Paperboy Love Prince,Adrienne E. Adams,Scott M. Stringer,6
Whitney R. Tilson,Zellnor Myrie,Andrew M. Cuomo,Scott M. Stringer,Brad Lander,6
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Jessica Ramos,Candidate Write-in,6
Brad Lander,Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,Andrew M. Cuomo,6
Brad Lander,Zellnor Myrie,Michael Blake,Adrienne E. Adams,Andrew M. Cuomo,6
Andrew M. Cuomo,Adrienne E. Adams,Jessica Ramos,Paperboy Love Prince,Scott M. Stringer,6
Zellnor Myrie,Brad Lander,Adrienne E. Adams,Michael Blake,Jessica Ramos,6
Brad Lander,Zellnor Myrie,Jessica Ramos,Zohran Kwame Mamdani,Whitney R. Tilson,6
Whitney R. Tilson,Scott M. Stringer,Andrew M. Cuomo,Adrienne E. Adams,Brad Lander,6
Brad Lander,Adrienne E. Adams,Jessica Ramos,Michael Blake,Scott M. Stringer,6
Zohran Kwame Mamdani,Jessica Ramos,Selma K. Bartholomew,Brad Lander,Adrienne E. Adams,6
Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,Michael Blake,Whitney R. Tilson,6
Andrew M. Cuomo,Adrienne E. Adams,Whitney R. Tilson,Zellnor Myrie,Michael Blake,6
Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,Selma K. Bartholomew,6
Scott M. Stringer,Adrienne E. Adams,Michael Blake,Brad Lander,Andrew M. Cuomo,6
Brad Lander,Adrienne E. Adams,Candidate Write-in,,,6
Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,Jessica Ramos,,6
Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,Jessica Ramos,Zohran Kwame Mamdani,6
Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,Scott M. Stringer,Selma K. Bartholomew,6
Zellnor Myrie,Zohran Kwame Mamdani,Paperboy Love Prince,,,6
Scott M. Stringer,Andrew M. Cuomo,Zellnor Myrie,Adrienne E. Adams,Brad Lander,6
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Michael Blake,Zellnor Myrie,6
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Candidate Write-in,6
Adrienne E. Adams,Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,Brad Lander,6
Brad Lander,Whitney R. Tilson,Zohran Kwame Mamdani,Andrew M. Cuomo,,6
Whitney R. Tilson,Jessica Ramos,,,,6
Scott M. Stringer,Zohran Kwame Mamdani,Zellnor Myrie,Brad Lander,Adrienne E. Adams,6
Brad Lander,Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Jessica Ramos,6
Zohran Kwame Mamdani,Brad Lander,Whitney R. Tilson,Andrew M. Cuomo,Scott M. Stringer,6
Zohran Kwame Mamdani,Brad Lander,Whitney R. Tilson,Adrienne E. Adams,Andrew M. Cuomo,6
Andrew M. Cuomo,Scott M. Stringer,Michael Blake,Zellnor Myrie,,6
Andrew M. Cuomo,Brad Lander,Jessica Ramos,Whitney R. Tilson,Zohran Kwame Mamdani,6
Adrienne E. Adams,Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,Whitney R. Tilson,6
Scott M. Stringer,Zohran Kwame Mamdani,Brad Lander,Andrew M. Cuomo,Adrienne E. Adams,6
Brad Lander,Scott M. Stringer,Michael Blake,Andrew M. Cuomo,,6
Michael Blake,Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,6
Brad Lander,Zellnor Myrie,Jessica Ramos,Adrienne E. Adams,,6
Whitney R. Tilson,Andrew M. Cuomo,Jessica Ramos,,,6
Whitney R. Tilson,Jessica Ramos,Andrew M. Cuomo,,,6
Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,6
Scott M. Stringer,Zellnor Myrie,Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,6
Whitney R. Tilson,Paperboy Love Prince,Andrew M. Cuomo,,,6
Brad Lander,Zohran Kwame Mamdani,Whitney R. Tilson,Scott M. Stringer,Michael Blake,6
Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Selma K. Bartholomew,,6
Zohran Kwame Mamdani,Jessica Ramos,Zellnor Myrie,Scott M. Stringer,Paperboy Love Prince,6
Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,6
Zellnor Myrie,Zohran Kwame Mamdani,,,,6
Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,Adrienne E. Adams,Zellnor Myrie,6
Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,Brad Lander,Jessica Ramos,6
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Candidate Write-in,,6
Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Brad Lander,6
Scott M. Stringer,Adrienne E. Adams,Brad Lander,Andrew M. Cuomo,Zellnor Myrie,6
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Candidate Write-in,6
Andrew M. Cuomo,Michael Blake,Whitney R. Tilson,Scott M. Stringer,Brad Lander,6
Adrienne E. Adams,Scott M. Stringer,Zohran Kwame Mamdani,Zellnor Myrie,Andrew M. Cuomo,6
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Paperboy Love Prince,,6
Brad Lander,Scott M. Stringer,Michael Blake,Adrienne E. Adams,Zellnor Myrie,6
Scott M. Stringer,Whitney R. Tilson,Brad Lander,Andrew M. Cuomo,,6
Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,Jessica Ramos,Scott M. Stringer,6
Brad Lander,Jessica Ramos,Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,6
Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,6
Brad Lander,Zohran Kwame Mamdani,Jessica Ramos,Zellnor Myrie,Selma K. Bartholomew,6
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Michael Blake,Andrew M. Cuomo,6
Zohran Kwame Mamdani,Paperboy Love Prince,Jessica Ramos,Adrienne E. Adams,Zellnor Myrie,6
Michael Blake,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Andrew M. Cuomo,6
Brad Lander,Andrew M. Cuomo,Zellnor Myrie,Adrienne E. Adams,Michael Blake,6
Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,Brad Lander,Jessica Ramos,6
Andrew M. Cuomo,Whitney R. Tilson,Michael Blake,Paperboy Love Prince,Selma K. Bartholomew,6
Scott M. Stringer,Brad Lander,Jessica Ramos,Zohran Kwame Mamdani,Adrienne E. Adams,6
Brad Lander,Zellnor Myrie,Michael Blake,Whitney R. Tilson,Zohran Kwame Mamdani,6
Zohran Kwame Mamdani,Paperboy Love Prince,Jessica Ramos,Michael Blake,Brad Lander,6
Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,Jessica Ramos,Whitney R. Tilson,6
Zohran Kwame Mamdani,Paperboy Love Prince,Zellnor Myrie,Adrienne E. Adams,,6
Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,Brad Lander,6
Zellnor Myrie,Andrew M. Cuomo,Whitney R. Tilson,Scott M. Stringer,Brad Lander,6
Zohran Kwame Mamdani,Jessica Ramos,Michael Blake,Zellnor Myrie,Scott M. Stringer,6
Andrew M. Cuomo,Adrienne E. Adams,Zohran Kwame Mamdani,Paperboy Love Prince,Jessica Ramos,6
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Andrew M. Cuomo,Jessica Ramos,6
Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,Scott M. Stringer,,6
Brad Lander,Jessica Ramos,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,6
Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,,6
Zohran Kwame Mamdani,Jessica Ramos,Zellnor Myrie,Scott M. Stringer,Brad Lander,6
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Candidate Write-in,,6
Zellnor Myrie,Brad Lander,Whitney R. Tilson,Scott M. Stringer,,6
Zohran Kwame Mamdani,Andrew M. Cuomo,Zellnor Myrie,Jessica Ramos,Selma K. Bartholomew,6
Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Selma K. Bartholomew,Scott M. Stringer,6
Zohran Kwame Mamdani,Paperboy Love Prince,Selma K. Bartholomew,Zellnor Myrie,Jessica Ramos,6
Zohran Kwame Mamdani,Andrew M. Cuomo,Adrienne E. Adams,Zellnor Myrie,Whitney R. Tilson,6
Andrew M. Cuomo,Zellnor Myrie,Adrienne E. Adams,Candidate Write-in,Paperboy Love Prince,6
Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,Andrew M. Cuomo,Zellnor Myrie,6
Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,6
Zellnor Myrie,Adrienne E. Adams,Scott M. Stringer,Michael Blake,Andrew M. Cuomo,6
Andrew M. Cuomo,Michael Blake,Selma K. Bartholomew,Adrienne E. Adams,,6
Brad Lander,Zellnor Myrie,Paperboy Love Prince,,,6
Zellnor Myrie,Zohran Kwame Mamdani,Michael Blake,Brad Lander,Adrienne E. Adams,6
Zohran Kwame Mamdani,Paperboy Love Prince,Zellnor Myrie,Scott M. Stringer,Adrienne E. Adams,6
Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Andrew M. Cuomo,6
Brad Lander,Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,Zohran Kwame Mamdani,6
Brad Lander,Zellnor Myrie,Michael Blake,Jessica Ramos,Zohran Kwame Mamdani,6
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Selma K. Bartholomew,,6
Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,Michael Blake,6
Whitney R. Tilson,Andrew M. Cuomo,Candidate Write-in,,,6
Andrew M. Cuomo,Whitney R. Tilson,Paperboy Love Prince,Candidate Write-in,,6
Zellnor Myrie,Whitney R. Tilson,Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,6
Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,Brad Lander,Selma K. Bartholomew,6
Scott M. Stringer,Brad Lander,Andrew M. Cuomo,Whitney R. Tilson,,6
Adrienne E. Adams,Jessica Ramos,Zohran Kwame Mamdani,Scott M. Stringer,Andrew M. Cuomo,6
Brad Lander,Scott M. Stringer,Zellnor Myrie,Michael Blake,Whitney R. Tilson,6
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Paperboy Love Prince,Brad Lander,6
Andrew M. Cuomo,Scott M. Stringer,Zellnor Myrie,Selma K. Bartholomew,Adrienne E. Adams,6
Jessica Ramos,Andrew M. Cuomo,Brad Lander,,,6
Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Whitney R. Tilson,6
Zohran Kwame Mamdani,Michael Blake,Candidate Write-in,,,6
Adrienne E. Adams,Brad Lander,Zohran Kwame Mamdani,Paperboy Love Prince,,6
Brad Lander,Whitney R. Tilson,Scott M. Stringer,Zohran Kwame Mamdani,Andrew M. Cuomo,6
Andrew M. Cuomo,Zellnor Myrie,Whitney R. Tilson,Michael Blake,Scott M. Stringer,6
Whitney R. Tilson,Scott M. Stringer,Zellnor Myrie,,,6
Zellnor Myrie,Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Paperboy Love Prince,6
Paperboy Love Prince,Whitney R. Tilson,Andrew M. Cuomo,,,6
Brad Lander,Zohran Kwame Mamdani,Paperboy Love Prince,Scott M. Stringer,Adrienne E. Adams,6
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,Whitney R. Tilson,6
Brad Lander,Whitney R. Tilson,Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,6
Scott M. Stringer,Brad Lander,Jessica Ramos,Zellnor Myrie,,6
Scott M. Stringer,Adrienne E. Adams,Brad Lander,Jessica Ramos,Zellnor Myrie,6
Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,Paperboy Love Prince,,6
Brad Lander,Zellnor Myrie,Andrew M. Cuomo,Zohran Kwame Mamdani,,6
Brad Lander,Zellnor Myrie,Michael Blake,Scott M. Stringer,,6
Zohran Kwame Mamdani,Brad Lander,Zellnor Myrie,Selma K. Bartholomew,Andrew M. Cuomo,6
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Paperboy Love Prince,Michael Blake,6
Brad Lander,Whitney R. Tilson,Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,6
Scott M. Stringer,Adrienne E. Adams,Brad Lander,Andrew M. Cuomo,Jessica Ramos,6
Zellnor Myrie,Whitney R. Tilson,Scott M. Stringer,Brad Lander,Adrienne E. Adams,6
Brad Lander,Zohran Kwame Mamdani,Paperboy Love Prince,Zellnor Myrie,Jessica Ramos,6
Jessica Ramos,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,6
Zohran Kwame Mamdani,Paperboy Love Prince,Scott M. Stringer,Brad Lander,Michael Blake,6
Adrienne E. Adams,Scott M. Stringer,Brad Lander,Michael Blake,Selma K. Bartholomew,6
Brad Lander,Jessica Ramos,Zellnor Myrie,Zohran Kwame Mamdani,,6
Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Whitney R. Tilson,Jessica Ramos,6
Andrew M. Cuomo,Brad Lander,Paperboy Love Prince,Zellnor Myrie,Scott M. Stringer,6
Zohran Kwame Mamdani,Adrienne E. Adams,Selma K. Bartholomew,Andrew M. Cuomo,,6
Whitney R. Tilson,Brad Lander,Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,6
Zohran Kwame Mamdani,Zellnor Myrie,Jessica Ramos,Selma K. Bartholomew,Brad Lander,6
Brad Lander,Zellnor Myrie,Whitney R. Tilson,Michael Blake,Zohran Kwame Mamdani,6
Adrienne E. Adams,Zellnor Myrie,Andrew M. Cuomo,Michael Blake,Selma K. Bartholomew,6
Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Selma K. Bartholomew,,6
Zohran Kwame Mamdani,Paperboy Love Prince,Adrienne E. Adams,Scott M. Stringer,Brad Lander,6
Adrienne E. Adams,Brad Lander,Whitney R. Tilson,Scott M. Stringer,Zohran Kwame Mamdani,6
Brad Lander,Michael Blake,Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,6
Andrew M. Cuomo,Zellnor Myrie,Scott M. Stringer,Michael Blake,Paperboy Love Prince,6
Zellnor Myrie,Scott M. Stringer,Brad Lander,Whitney R. Tilson,Andrew M. Cuomo,6
Andrew M. Cuomo,Whitney R. Tilson,Paperboy Love Prince,Adrienne E. Adams,Scott M. Stringer,6
Brad Lander,Zellnor Myrie,Michael Blake,Scott M. Stringer,Andrew M. Cuomo,6
Brad Lander,Whitney R. Tilson,Scott M. Stringer,Andrew M. Cuomo,Zellnor Myrie,6
Whitney R. Tilson,Andrew M. Cuomo,Brad Lander,Adrienne E. Adams,,6
Brad Lander,Zohran Kwame Mamdani,Andrew M. Cuomo,Jessica Ramos,Paperboy Love Prince,6
Brad Lander,Scott M. Stringer,Jessica Ramos,Zellnor Myrie,Adrienne E. Adams,6
Zellnor Myrie,Adrienne E. Adams,Whitney R. Tilson,Brad Lander,Andrew M. Cuomo,6
Andrew M. Cuomo,Whitney R. Tilson,Adrienne E. Adams,Zellnor Myrie,Brad Lander,6
Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,Adrienne E. Adams,Whitney R. Tilson,6
Zohran Kwame Mamdani,Zellnor Myrie,Jessica Ramos,Selma K. Bartholomew,,6
Zohran Kwame Mamdani,Andrew M. Cuomo,Selma K. Bartholomew,Whitney R. Tilson,Paperboy Love Prince,6
Zellnor Myrie,Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,6
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Whitney R. Tilson,Paperboy Love Prince,6
Zellnor Myrie,Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Brad Lander,6
Adrienne E. Adams,Andrew M. Cuomo,Brad Lander,Jessica Ramos,Michael Blake,6
Adrienne E. Adams,Zellnor Myrie,Brad Lander,Scott M. Stringer,Selma K. Bartholomew,6
Adrienne E. Adams,Zohran Kwame Mamdani,Michael Blake,Scott M. Stringer,Selma K. Bartholomew,6
Zohran Kwame Mamdani,Michael Blake,Brad Lander,Selma K. Bartholomew,Whitney R. Tilson,6
Zohran Kwame Mamdani,Jessica Ramos,Scott M. Stringer,Adrienne E. Adams,,6
Brad Lander,Jessica Ramos,Zellnor Myrie,,,6
Zohran Kwame Mamdani,Michael Blake,Jessica Ramos,Scott M. Stringer,Zellnor Myrie,6
Zohran Kwame Mamdani,Adrienne E. Adams,Selma K. Bartholomew,Scott M. Stringer,Brad Lander,6
Zohran Kwame Mamdani,Brad Lander,Whitney R. Tilson,Paperboy Love Prince,Selma K. Bartholomew,6
Whitney R. Tilson,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,6
Whitney R. Tilson,Brad Lander,Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,6
Selma K. Bartholomew,Whitney R. Tilson,,,,6
Andrew M. Cuomo,Brad Lander,Jessica Ramos,Zellnor Myrie,Whitney R. Tilson,6
Zellnor Myrie,Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,6
Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Selma K. Bartholomew,,6
Zohran Kwame Mamdani,Paperboy Love Prince,Jessica Ramos,Selma K. Bartholomew,,6
Zohran Kwame Mamdani,Selma K. Bartholomew,Brad Lander,Jessica Ramos,Whitney R. Tilson,6
