rank1,rank2,rank3,rank4,rank5,count
Andrew M. Cuomo,Whitney R. Tilson,Selma K. Bartholomew,Michael Blake,Paperboy Love Prince,4
Adrienne E. Adams,Zellnor Myrie,Zohran Kwame Mamdani,Andrew M. Cuomo,Jessica Ramos,4
Adrienne E. Adams,Michael Blake,Andrew M. Cuomo,Zohran Kwame Mamdani,Jessica Ramos,4
Andrew M. Cuomo,Zellnor Myrie,Adrienne E. Adams,Write-In,Paperboy Love Prince,4
Andrew M. Cuomo,Whitney R. Tilson,Zellnor Myrie,Scott M. Stringer,Selma K. Bartholomew,4
Andrew M. Cuomo,Zellnor Myrie,Adrienne E. Adams,Jessica Ramos,Paperboy Love Prince,4
Adrienne E. Adams,Andrew M. Cuomo,Whitney R. Tilson,Zohran Kwame Mamdani,,4
Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,Brad Lander,Selma K. Bartholomew,4
Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,Michael Blake,,4
Andrew M. Cuomo,Andrew M. Cuomo,Adrienne E. Adams,Adrienne E. Adams,Adrienne E. Adams,4
Andrew M. Cuomo,Zellnor Myrie,Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,4
Zohran Kwame Mamdani,Andrew M. Cuomo,Selma K. Bartholomew,Adrienne E. Adams,Whitney R. Tilson,4
Andrew M. Cuomo,Zellnor Myrie,Michael Blake,Jessica Ramos,Zohran Kwame Mamdani,4
Zohran Kwame Mamdani,Paperboy Love Prince,Adrienne E. Adams,Selma K. Bartholomew,,4
Zohran Kwame Mamdani,Selma K. Bartholomew,Paperboy Love Prince,Zellnor Myrie,Scott M. Stringer,4
Zohran Kwame Mamdani,Paperboy Love Prince,Zellnor Myrie,Scott M. Stringer,Adrienne E. Adams,4
Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,4
Zohran Kwame Mamdani,Selma K. Bartholomew,Adrienne E. Adams,Zellnor Myrie,,4
Zohran Kwame Mamdani,Scott M. Stringer,Paperboy Love Prince,Jessica Ramos,Zellnor Myrie,4
Andrew M. Cuomo,Zellnor Myrie,Adrienne E. Adams,Paperboy Love Prince,Michael Blake,4
Adrienne E. Adams,Scott M. Stringer,Selma K. Bartholomew,,,4
Zellnor Myrie,Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,4
Andrew M. Cuomo,Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,,4
Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Scott M. Stringer,,4
Brad Lander,Jessica Ramos,Selma K. Bartholomew,,,4
Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,Scott M. Stringer,Michael Blake,4
Zohran Kwame Mamdani,Scott M. Stringer,Whitney R. Tilson,Adrienne E. Adams,,4
Adrienne E. Adams,Brad Lander,Michael Blake,Jessica Ramos,Jenifer Rajkumar,4
Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,Zellnor Myrie,Jenifer Rajkumar,4
Andrew M. Cuomo,Jessica Ramos,Michael Blake,Whitney R. Tilson,Jumaane D. Williams,4
Scott M. Stringer,Brad Lander,Whitney R. Tilson,Zellnor Myrie,Jenifer Rajkumar,4
Brad Lander,Jessica Ramos,Whitney R. Tilson,Michael Blake,Jumaane D. Williams,4
Andrew M. Cuomo,Whitney R. Tilson,Marty Dolan,,,4
Adrienne E. Adams,Jessica Ramos,Zohran Kwame Mamdani,Scott M. Stringer,Jenifer Rajkumar,4
Zohran Kwame Mamdani,Adrienne E. Adams,Michael Blake,Jessica Ramos,Jenifer Rajkumar,4
Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,Jessica Ramos,Jenifer Rajkumar,4
Scott M. Stringer,Brad Lander,Jessica Ramos,Zellnor Myrie,Jenifer Rajkumar,4
Michael Blake,Brad Lander,Adrienne E. Adams,Scott M. Stringer,Jenifer Rajkumar,4
Zellnor Myrie,Adrienne E. Adams,Zohran Kwame Mamdani,Brad Lander,Jumaane D. Williams,4
Brad Lander,Paperboy Love Prince,Zellnor Myrie,Selma K. Bartholomew,Jumaane D. Williams,4
Adrienne E. Adams,Michael Blake,Whitney R. Tilson,Zellnor Myrie,Jumaane D. Williams,4
Brad Lander,Selma K. Bartholomew,Whitney R. Tilson,Jessica Ramos,Jumaane D. Williams,4
Jessica Ramos,Selma K. Bartholomew,Whitney R. Tilson,Michael Blake,Jenifer Rajkumar,4
Adrienne E. Adams,Brad Lander,Michael Blake,Whitney R. Tilson,Jumaane D. Williams,4
Zohran Kwame Mamdani,Scott M. Stringer,Zellnor Myrie,Andrew M. Cuomo,Jumaane D. Williams,4
Adrienne E. Adams,Scott M. Stringer,Brad Lander,Whitney R. Tilson,Marty Dolan,4
Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,Andrew M. Cuomo,Jumaane D. Williams,4
Andrew M. Cuomo,Michael Blake,Jessica Ramos,Zohran Kwame Mamdani,Jumaane D. Williams,4
Jessica Ramos,Paperboy Love Prince,Marty Dolan,,,4
Michael Blake,Jessica Ramos,Brad Lander,Adrienne E. Adams,Jenifer Rajkumar,4
Scott M. Stringer,Selma K. Bartholomew,Jessica Ramos,Whitney R. Tilson,Jenifer Rajkumar,4
Zellnor Myrie,Scott M. Stringer,Whitney R. Tilson,Zohran Kwame Mamdani,Jumaane D. Williams,4
Zellnor Myrie,Michael Blake,Brad Lander,Selma K. Bartholomew,Jumaane D. Williams,4
Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,Andrew M. Cuomo,Jumaane D. Williams,4
Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Zohran Kwame Mamdani,Jenifer Rajkumar,4
Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,Whitney R. Tilson,Jumaane D. Williams,4
Zohran Kwame Mamdani,Scott M. Stringer,Michael Blake,Paperboy Love Prince,Jumaane D. Williams,4
Selma K. Bartholomew,Zellnor Myrie,Adrienne E. Adams,Michael Blake,Jumaane D. Williams,4
Zohran Kwame Mamdani,Scott M. Stringer,Whitney R. Tilson,Brad Lander,Jumaane D. Williams,4
Jessica Ramos,Adrienne E. Adams,Brad Lander,Scott M. Stringer,Jenifer Rajkumar,4
Zohran Kwame Mamdani,Michael Blake,Brad Lander,Selma K. Bartholomew,Jumaane D. Williams,4
Adrienne E. Adams,Michael Blake,Selma K. Bartholomew,Paperboy Love Prince,Jumaane D. Williams,4
Zohran Kwame Mamdani,Zellnor Myrie,Jessica Ramos,Whitney R. Tilson,Jumaane D. Williams,4
Whitney R. Tilson,Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,Jenifer Rajkumar,4
Scott M. Stringer,Jessica Ramos,Whitney R. Tilson,Jenifer Rajkumar,,4
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Jumaane D. Williams,4
Andrew M. Cuomo,Brad Lander,Jessica Ramos,Adrienne E. Adams,Jenifer Rajkumar,4
Scott M. Stringer,Brad Lander,Selma K. Bartholomew,Michael Blake,Jenifer Rajkumar,4
Scott M. Stringer,Jessica Ramos,Selma K. Bartholomew,Zellnor Myrie,Jenifer Rajkumar,4
Whitney R. Tilson,Scott M. Stringer,Jessica Ramos,Brad Lander,Marty Dolan,4
Scott M. Stringer,Michael Blake,Brad Lander,Jessica Ramos,Jumaane D. Williams,4
Scott M. Stringer,Adrienne E. Adams,Whitney R. Tilson,Brad Lander,Jenifer Rajkumar,4
Zohran Kwame Mamdani,Andrew M. Cuomo,Michael Blake,Brad Lander,Jumaane D. Williams,4
Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,Adrienne E. Adams,Jumaane D. Williams,4
Scott M. Stringer,Selma K. Bartholomew,Jessica Ramos,Zellnor Myrie,Jenifer Rajkumar,4
Michael Blake,Brad Lander,Paperboy Love Prince,Scott M. Stringer,Jenifer Rajkumar,4
Selma K. Bartholomew,Zellnor Myrie,Jessica Ramos,Michael Blake,,4
Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,Zohran Kwame Mamdani,Jumaane D. Williams,4
Michael Blake,Adrienne E. Adams,Scott M. Stringer,Andrew M. Cuomo,Jumaane D. Williams,4
Jessica Ramos,Paperboy Love Prince,Selma K. Bartholomew,Jenifer Rajkumar,,4
Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Jenifer Rajkumar,,4
Scott M. Stringer,Adrienne E. Adams,Michael Blake,Paperboy Love Prince,,4
Zohran Kwame Mamdani,Adrienne E. Adams,Selma K. Bartholomew,Brad Lander,Jumaane D. Williams,4
Scott M. Stringer,Adrienne E. Adams,Paperboy Love Prince,Brad Lander,Jumaane D. Williams,4
Jessica Ramos,Selma K. Bartholomew,Michael Blake,Brad Lander,Jenifer Rajkumar,4
Jessica Ramos,Selma K. Bartholomew,Adrienne E. Adams,Andrew M. Cuomo,Jenifer Rajkumar,4
Brad Lander,Paperboy Love Prince,Whitney R. Tilson,Jessica Ramos,Jumaane D. Williams,4
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Whitney R. Tilson,Marty Dolan,4
Selma K. Bartholomew,Jessica Ramos,Michael Blake,Adrienne E. Adams,Jenifer Rajkumar,4
Adrienne E. Adams,Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,Jenifer Rajkumar,4
Zohran Kwame Mamdani,Zellnor Myrie,Michael Blake,Jenifer Rajkumar,,4
Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,Scott M. Stringer,Marty Dolan,4
Selma K. Bartholomew,Jessica Ramos,Michael Blake,Zellnor Myrie,Jenifer Rajkumar,4
Scott M. Stringer,Selma K. Bartholomew,Jessica Ramos,Paperboy Love Prince,Jumaane D. Williams,4
Zohran Kwame Mamdani,Michael Blake,Adrienne E. Adams,Brad Lander,Jumaane D. Williams,4
Whitney R. Tilson,Scott M. Stringer,Adrienne E. Adams,Michael Blake,Marty Dolan,4
Scott M. Stringer,Andrew M. Cuomo,Selma K. Bartholomew,Zellnor Myrie,Jumaane D. Williams,4
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Selma K. Bartholomew,Jenifer Rajkumar,4
Brad Lander,Scott M. Stringer,Selma K. Bartholomew,Andrew M. Cuomo,Jenifer Rajkumar,4
Brad Lander,Zellnor Myrie,Whitney R. Tilson,Scott M. Stringer,Jenifer Rajkumar,4
Scott M. Stringer,Jessica Ramos,Michael Blake,Adrienne E. Adams,Jenifer Rajkumar,4
Jessica Ramos,Scott M. Stringer,Zellnor Myrie,Michael Blake,Jumaane D. Williams,4
Scott M. Stringer,Jessica Ramos,Brad Lander,Michael Blake,Jenifer Rajkumar,4
Paperboy Love Prince,Paperboy Love Prince,Paperboy Love Prince,Paperboy Love Prince,Jenifer Rajkumar,4
Andrew M. Cuomo,Zellnor Myrie,Selma K. Bartholomew,Scott M. Stringer,Jumaane D. Williams,4
Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,Brad Lander,Jumaane D. Williams,4
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Brad Lander,Marty Dolan,4
Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,Scott M. Stringer,Jumaane D. Williams,4
Adrienne E. Adams,Zohran Kwame Mamdani,Andrew M. Cuomo,Jessica Ramos,Jenifer Rajkumar,4
Scott M. Stringer,Brad Lander,Jessica Ramos,Michael Blake,Jenifer Rajkumar,4
Michael Blake,Brad Lander,Zellnor Myrie,Adrienne E. Adams,Marty Dolan,4
Scott M. Stringer,Brad Lander,Zellnor Myrie,Selma K. Bartholomew,Jumaane D. Williams,4
Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,Zohran Kwame Mamdani,Jumaane D. Williams,4
Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,Scott M. Stringer,Jenifer Rajkumar,4
Brad Lander,Andrew M. Cuomo,Scott M. Stringer,Jessica Ramos,Marty Dolan,4
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,Jumaane D. Williams,4
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Jessica Ramos,Marty Dolan,4
Scott M. Stringer,Whitney R. Tilson,Adrienne E. Adams,Jessica Ramos,Jenifer Rajkumar,4
Brad Lander,Selma K. Bartholomew,Marty Dolan,,,4
Scott M. Stringer,Zohran Kwame Mamdani,Brad Lander,Michael Blake,Jenifer Rajkumar,4
Brad Lander,Whitney R. Tilson,Scott M. Stringer,Andrew M. Cuomo,Jenifer Rajkumar,4
Andrew M. Cuomo,Zohran Kwame Mamdani,Selma K. Bartholomew,Jessica Ramos,Jumaane D. Williams,4
Scott M. Stringer,Brad Lander,Whitney R. Tilson,Jumaane D. Williams,,4
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Michael Blake,Jumaane D. Williams,4
Michael Blake,Scott M. Stringer,Jessica Ramos,Zohran Kwame Mamdani,Jumaane D. Williams,4
Adrienne E. Adams,Andrew M. Cuomo,Jessica Ramos,Zellnor Myrie,Jenifer Rajkumar,4
Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Brad Lander,Jenifer Rajkumar,4
Andrew M. Cuomo,Scott M. Stringer,Brad Lander,Whitney R. Tilson,Jumaane D. Williams,4
Brad Lander,Andrew M. Cuomo,Adrienne E. Adams,Jenifer Rajkumar,,4
Scott M. Stringer,Jessica Ramos,Michael Blake,Zellnor Myrie,Marty Dolan,4
Andrew M. Cuomo,Michael Blake,Scott M. Stringer,Zohran Kwame Mamdani,Jumaane D. Williams,4
Brad Lander,Michael Blake,Zohran Kwame Mamdani,Scott M. Stringer,Jumaane D. Williams,4
Jessica Ramos,Scott M. Stringer,Brad Lander,Whitney R. Tilson,Jumaane D. Williams,4
Scott M. Stringer,Whitney R. Tilson,Brad Lander,Zellnor Myrie,Jenifer Rajkumar,4
Scott M. Stringer,Brad Lander,Zellnor Myrie,Zohran Kwame Mamdani,Jenifer Rajkumar,4
Whitney R. Tilson,Jessica Ramos,Scott M. Stringer,Brad Lander,Jenifer Rajkumar,4
Scott M. Stringer,Zellnor Myrie,Selma K. Bartholomew,Zohran Kwame Mamdani,,4
Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,Jessica Ramos,Jumaane D. Williams,4
Brad Lander,Zellnor Myrie,Paperboy Love Prince,Adrienne E. Adams,Jenifer Rajkumar,4
Jessica Ramos,Paperboy Love Prince,Selma K. Bartholomew,Scott M. Stringer,Jenifer Rajkumar,4
Brad Lander,Whitney R. Tilson,Zellnor Myrie,Adrienne E. Adams,Jumaane D. Williams,4
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Jessica Ramos,Jumaane D. Williams,4
Zohran Kwame Mamdani,Andrew M. Cuomo,Jessica Ramos,Michael Blake,Jumaane D. Williams,4
Selma K. Bartholomew,Jessica Ramos,Whitney R. Tilson,Paperboy Love Prince,Jumaane D. Williams,4
Brad Lander,Zellnor Myrie,Paperboy Love Prince,Michael Blake,Jumaane D. Williams,4
Andrew M. Cuomo,Adrienne E. Adams,Paperboy Love Prince,Jumaane D. Williams,,4
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,Marty Dolan,4
Andrew M. Cuomo,Selma K. Bartholomew,Jessica Ramos,Scott M. Stringer,Jenifer Rajkumar,4
Andrew M. Cuomo,Andrew M. Cuomo,Adrienne E. Adams,Andrew M. Cuomo,Jumaane D. Williams,4
Michael Blake,Scott M. Stringer,Jessica Ramos,Adrienne E. Adams,Jenifer Rajkumar,4
Zellnor Myrie,Michael Blake,Adrienne E. Adams,Selma K. Bartholomew,Jumaane D. Williams,4
Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,Jumaane D. Williams,4
Andrew M. Cuomo,Scott M. Stringer,Jessica Ramos,Brad Lander,Jenifer Rajkumar,4
Andrew M. Cuomo,Scott M. Stringer,Michael Blake,Brad Lander,Jenifer Rajkumar,4
Adrienne E. Adams,Scott M. Stringer,Whitney R. Tilson,Jessica Ramos,Jumaane D. Williams,4
Adrienne E. Adams,Jessica Ramos,Selma K. Bartholomew,Zohran Kwame Mamdani,Jumaane D. Williams,4
Paperboy Love Prince,Zohran Kwame Mamdani,Jumaane D. Williams,,,4
Adrienne E. Adams,Selma K. Bartholomew,Scott M. Stringer,Brad Lander,Jenifer Rajkumar,4
Brad Lander,Whitney R. Tilson,Scott M. Stringer,Adrienne E. Adams,Jenifer Rajkumar,4
Andrew M. Cuomo,Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,Jumaane D. Williams,4
Paperboy Love Prince,Brad Lander,Scott M. Stringer,Jumaane D. Williams,,4
Jessica Ramos,Adrienne E. Adams,Brad Lander,Selma K. Bartholomew,Jumaane D. Williams,4
Brad Lander,Whitney R. Tilson,Scott M. Stringer,Jenifer Rajkumar,,4
Scott M. Stringer,Adrienne E. Adams,Whitney R. Tilson,Michael Blake,Jumaane D. Williams,4
Scott M. Stringer,Adrienne E. Adams,Whitney R. Tilson,Paperboy Love Prince,Jenifer Rajkumar,4
Scott M. Stringer,Whitney R. Tilson,Michael Blake,Brad Lander,Jumaane D. Williams,4
Brad Lander,Selma K. Bartholomew,Zellnor Myrie,Adrienne E. Adams,Jumaane D. Williams,4
Adrienne E. Adams,Brad Lander,Selma K. Bartholomew,Michael Blake,Jumaane D. Williams,4
Zellnor Myrie,Brad Lander,Jessica Ramos,Adrienne E. Adams,Jumaane D. Williams,4
Zellnor Myrie,Whitney R. Tilson,Marty Dolan,,,4
Brad Lander,Adrienne E. Adams,Paperboy Love Prince,Michael Blake,Jenifer Rajkumar,4
Scott M. Stringer,Michael Blake,Zellnor Myrie,Adrienne E. Adams,Jumaane D. Williams,4
Scott M. Stringer,Zohran Kwame Mamdani,Jessica Ramos,Brad Lander,Jenifer Rajkumar,4
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,Jumaane D. Williams,4
Adrienne E. Adams,Zohran Kwame Mamdani,Selma K. Bartholomew,Scott M. Stringer,Jumaane D. Williams,4
Andrew M. Cuomo,Adrienne E. Adams,Scott M. Stringer,Paperboy Love Prince,Jumaane D. Williams,4
Paperboy Love Prince,Adrienne E. Adams,Jessica Ramos,Whitney R. Tilson,Jumaane D. Williams,4
Brad Lander,Michael Blake,Adrienne E. Adams,Andrew M. Cuomo,Jenifer Rajkumar,4
Scott M. Stringer,Adrienne E. Adams,Selma K. Bartholomew,Zellnor Myrie,Jenifer Rajkumar,4
Jessica Ramos,Whitney R. Tilson,Selma K. Bartholomew,Brad Lander,Jenifer Rajkumar,4
Brad Lander,Andrew M. Cuomo,Adrienne E. Adams,Marty Dolan,,4
Scott M. Stringer,Jessica Ramos,Whitney R. Tilson,Brad Lander,Jumaane D. Williams,4
Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Brad Lander,Jenifer Rajkumar,4
Jessica Ramos,Adrienne E. Adams,Scott M. Stringer,Selma K. Bartholomew,Jumaane D. Williams,4
Andrew M. Cuomo,Brad Lander,Jessica Ramos,Michael Blake,Jumaane D. Williams,4
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Selma K. Bartholomew,Jenifer Rajkumar,4
Zellnor Myrie,Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,Jenifer Rajkumar,4
Zohran Kwame Mamdani,Andrew M. Cuomo,Jessica Ramos,Paperboy Love Prince,Jumaane D. Williams,4
Adrienne E. Adams,Jessica Ramos,Selma K. Bartholomew,Scott M. Stringer,Jenifer Rajkumar,4
Scott M. Stringer,Jessica Ramos,Zellnor Myrie,Zohran Kwame Mamdani,Jenifer Rajkumar,4
Scott M. Stringer,Zohran Kwame Mamdani,Whitney R. Tilson,Jumaane D. Williams,,4
Michael Blake,Adrienne E. Adams,Paperboy Love Prince,Zellnor Myrie,Jumaane D. Williams,4
Jessica Ramos,Michael Blake,Scott M. Stringer,Selma K. Bartholomew,Jumaane D. Williams,4
Adrienne E. Adams,Whitney R. Tilson,Brad Lander,Andrew M. Cuomo,Jumaane D. Williams,4
Andrew M. Cuomo,Zellnor Myrie,Brad Lander,Scott M. Stringer,Jumaane D. Williams,4
Adrienne E. Adams,Scott M. Stringer,Selma K. Bartholomew,Brad Lander,Jumaane D. Williams,4
Zohran Kwame Mamdani,Scott M. Stringer,Brad Lander,Whitney R. Tilson,Jenifer Rajkumar,4
Michael Blake,Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,Marty Dolan,4
Scott M. Stringer,Jessica Ramos,Brad Lander,Andrew M. Cuomo,Jumaane D. Williams,4
Zohran Kwame Mamdani,Michael Blake,Brad Lander,Scott M. Stringer,Jenifer Rajkumar,4
Zellnor Myrie,Adrienne E. Adams,Jessica Ramos,Andrew M. Cuomo,Jenifer Rajkumar,4
Scott M. Stringer,Zellnor Myrie,Adrienne E. Adams,Whitney R. Tilson,Jumaane D. Williams,4
Zohran Kwame Mamdani,Zellnor Myrie,Jessica Ramos,Brad Lander,Jumaane D. Williams,4
Scott M. Stringer,Andrew M. Cuomo,Jessica Ramos,Jumaane D. Williams,,4
Adrienne E. Adams,Brad Lander,Paperboy Love Prince,Jenifer Rajkumar,,4
Brad Lander,Scott M. Stringer,Zohran Kwame Mamdani,Marty Dolan,,4
Jessica Ramos,Michael Blake,Brad Lander,Jumaane D. Williams,,4
Andrew M. Cuomo,Jessica Ramos,Scott M. Stringer,Paperboy Love Prince,Jumaane D. Williams,4
Scott M. Stringer,Andrew M. Cuomo,Brad Lander,Jessica Ramos,Jumaane D. Williams,4
Selma K. Bartholomew,Jessica Ramos,Scott M. Stringer,Michael Blake,Jenifer Rajkumar,4
Michael Blake,Brad Lander,Jessica Ramos,Jumaane D. Williams,,4
Zellnor Myrie,Michael Blake,Brad Lander,Paperboy Love Prince,Jenifer Rajkumar,4
Selma K. Bartholomew,Jessica Ramos,Brad Lander,Paperboy Love Prince,Jenifer Rajkumar,4
Jessica Ramos,Scott M. Stringer,Zohran Kwame Mamdani,Michael Blake,Jumaane D. Williams,4
Andrew M. Cuomo,Scott M. Stringer,Zohran Kwame Mamdani,Michael Blake,Jumaane D. Williams,4
Michael Blake,Brad Lander,Zellnor Myrie,Jumaane D. Williams,,4
Andrew M. Cuomo,Zellnor Myrie,Jessica Ramos,Brad Lander,Jenifer Rajkumar,4
Zellnor Myrie,Scott M. Stringer,Andrew M. Cuomo,Jumaane D. Williams,,4
Jessica Ramos,Scott M. Stringer,Whitney R. Tilson,Michael Blake,Jumaane D. Williams,4
Brad Lander,Adrienne E. Adams,Jessica Ramos,Michael Blake,Marty Dolan,4
Adrienne E. Adams,Brad Lander,Selma K. Bartholomew,Paperboy Love Prince,Jumaane D. Williams,4
Zohran Kwame Mamdani,Andrew M. Cuomo,Brad Lander,Zellnor Myrie,Jumaane D. Williams,4
Brad Lander,Andrew M. Cuomo,Jessica Ramos,Paperboy Love Prince,Jenifer Rajkumar,4
Scott M. Stringer,Adrienne E. Adams,Zohran Kwame Mamdani,Selma K. Bartholomew,Jumaane D. Williams,4
Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,Andrew M. Cuomo,Jumaane D. Williams,4
Adrienne E. Adams,Andrew M. Cuomo,Michael Blake,Scott M. Stringer,Jumaane D. Williams,4
Whitney R. Tilson,Scott M. Stringer,Adrienne E. Adams,Jumaane D. Williams,,4
Paperboy Love Prince,Whitney R. Tilson,Marty Dolan,,,4
Scott M. Stringer,Zohran Kwame Mamdani,Adrienne E. Adams,Whitney R. Tilson,Jenifer Rajkumar,4
Scott M. Stringer,Brad Lander,Zohran Kwame Mamdani,Jessica Ramos,Jenifer Rajkumar,4
Adrienne E. Adams,Selma K. Bartholomew,Scott M. Stringer,Jessica Ramos,Marty Dolan,4
Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,Marty Dolan,,4
Andrew M. Cuomo,Scott M. Stringer,Adrienne E. Adams,Michael Blake,Marty Dolan,4
Scott M. Stringer,Brad Lander,Michael Blake,Jessica Ramos,Marty Dolan,4
Jessica Ramos,Zohran Kwame Mamdani,Scott M. Stringer,Michael Blake,Jumaane D. Williams,4
Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Jenifer Rajkumar,,4
Scott M. Stringer,Jessica Ramos,Michael Blake,Brad Lander,Marty Dolan,4
Adrienne E. Adams,Brad Lander,Scott M. Stringer,Paperboy Love Prince,Marty Dolan,4
Jessica Ramos,Selma K. Bartholomew,Whitney R. Tilson,Jenifer Rajkumar,,4
Adrienne E. Adams,Zellnor Myrie,Brad Lander,Jessica Ramos,Jenifer Rajkumar,4
Brad Lander,Selma K. Bartholomew,Zellnor Myrie,Whitney R. Tilson,Jenifer Rajkumar,4
Scott M. Stringer,Jessica Ramos,Adrienne E. Adams,Michael Blake,Jenifer Rajkumar,4
Adrienne E. Adams,Whitney R. Tilson,Brad Lander,Jumaane D. Williams,,4
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Michael Blake,Jenifer Rajkumar,4
Adrienne E. Adams,Zohran Kwame Mamdani,Whitney R. Tilson,Zellnor Myrie,Jumaane D. Williams,4
Brad Lander,Adrienne E. Adams,Whitney R. Tilson,Scott M. Stringer,Marty Dolan,4
Brad Lander,Michael Blake,Selma K. Bartholomew,Paperboy Love Prince,Marty Dolan,4
Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,Brad Lander,Jenifer Rajkumar,4
Brad Lander,Jessica Ramos,Michael Blake,Scott M. Stringer,Marty Dolan,4
Zellnor Myrie,Michael Blake,Zohran Kwame Mamdani,Andrew M. Cuomo,Jumaane D. Williams,4
Zellnor Myrie,Andrew M. Cuomo,Michael Blake,Brad Lander,Jumaane D. Williams,4
Michael Blake,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Jumaane D. Williams,4
Adrienne E. Adams,Michael Blake,Brad Lander,Zohran Kwame Mamdani,Marty Dolan,4
Brad Lander,Scott M. Stringer,Adrienne E. Adams,Andrew M. Cuomo,Marty Dolan,4
Zohran Kwame Mamdani,Jessica Ramos,Adrienne E. Adams,Selma K. Bartholomew,Jumaane D. Williams,4
Michael Blake,Scott M. Stringer,Brad Lander,Adrienne E. Adams,Jenifer Rajkumar,4
Brad Lander,Whitney R. Tilson,Zellnor Myrie,Selma K. Bartholomew,Jenifer Rajkumar,4
Jessica Ramos,Brad Lander,Scott M. Stringer,Selma K. Bartholomew,Jumaane D. Williams,4
Michael Blake,Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,Jumaane D. Williams,4
Jessica Ramos,Adrienne E. Adams,Michael Blake,Selma K. Bartholomew,Jumaane D. Williams,4
Zellnor Myrie,Adrienne E. Adams,Brad Lander,Jessica Ramos,Jumaane D. Williams,4
Brad Lander,Selma K. Bartholomew,Scott M. Stringer,Paperboy Love Prince,Jumaane D. Williams,4
Andrew M. Cuomo,Zohran Kwame Mamdani,Scott M. Stringer,Paperboy Love Prince,Jumaane D. Williams,4
Brad Lander,Selma K. Bartholomew,Michael Blake,Zellnor Myrie,Jenifer Rajkumar,4
Scott M. Stringer,Michael Blake,Zellnor Myrie,Zohran Kwame Mamdani,Jumaane D. Williams,4
Adrienne E. Adams,Zellnor Myrie,Whitney R. Tilson,Scott M. Stringer,Jumaane D. Williams,4
Brad Lander,Jessica Ramos,Zellnor Myrie,Whitney R. Tilson,Jumaane D. Williams,4
Scott M. Stringer,Brad Lander,Michael Blake,Marty Dolan,,4
Andrew M. Cuomo,Adrienne E. Adams,Selma K. Bartholomew,Scott M. Stringer,Jenifer Rajkumar,4
Adrienne E. Adams,Jessica Ramos,Michael Blake,Brad Lander,Marty Dolan,4
