rank1,rank2,rank3,rank4,rank5,count
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,Zellnor Myrie,880
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Zellnor Myrie,Scott M. Stringer,879
Brad Lander,Zellnor Myrie,Michael Blake,Adrienne E. Adams,Jumaane D. Williams,872
Zohran Kwame Mamdani,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Zohran Kwame Mamdani,Zohran Kwame Mamdani,867
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Michael Blake,Scott M. Stringer,860
Zohran Kwame Mamdani,Scott M. Stringer,Selma K. Bartholomew,Zellnor Myrie,Adrienne E. Adams,858
Zohran Kwame Mamdani,Scott M. Stringer,,,,855
Zohran Kwame Mamdani,Brad Lander,Paperboy Love Prince,,,854
Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,Jumaane D. Williams,840
Brad Lander,Adrienne E. Adams,Scott M. Stringer,,,827
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,,,822
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Scott M. Stringer,Jumaane D. Williams,793
Brad Lander,Scott M. Stringer,Adrienne E. Adams,,,781
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Michael Blake,Jenifer Rajkumar,779
Andrew M. Cuomo,Scott M. Stringer,Whitney R. Tilson,,,772
Brad Lander,Jenifer Rajkumar,,,,770
Whitney R. Tilson,Andrew M. Cuomo,,,,768
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,Zellnor Myrie,Adrienne E. Adams,761
Andrew M. Cuomo,Michael Blake,,,,761
Zohran Kwame Mamdani,Brad Lander,Jessica Ramos,,,754
Andrew M. Cuomo,Zohran Kwame Mamdani,Adrienne E. Adams,,,747
Andrew M. Cuomo,Zohran Kwame Mamdani,Brad Lander,,,740
Brad Lander,Adrienne E. Adams,Scott M. Stringer,Zellnor Myrie,Jumaane D. Williams,737
Brad Lander,Andrew M. Cuomo,Scott M. Stringer,,,731
Brad Lander,Scott M. Stringer,Andrew M. Cuomo,,,719
Andrew M. Cuomo,Brad Lander,Zohran Kwame Mamdani,,,717
Brad Lander,Zohran Kwame Mamdani,Scott M. Stringer,Adrienne E. Adams,Zellnor Myrie,707
Brad Lander,Adrienne E. Adams,Michael Blake,Zellnor Myrie,Jumaane D. Williams,702
Zohran Kwame Mamdani,Brad Lander,Andrew M. Cuomo,,,698
Brad Lander,Michael Blake,Adrienne E. Adams,Zellnor Myrie,Jumaane D. Williams,696
Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,Andrew M. Cuomo,,693
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Michael Blake,,691
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,,685
Adrienne E. Adams,Brad Lander,Scott M. Stringer,Zellnor Myrie,Jumaane D. Williams,685
Zohran Kwame Mamdani,Zellnor Myrie,,,,682
Andrew M. Cuomo,Adrienne E. Adams,Zohran Kwame Mamdani,,,662
Andrew M. Cuomo,Brad Lander,Scott M. Stringer,Adrienne E. Adams,,645
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Scott M. Stringer,,633
Zellnor Myrie,,,,,621
Brad Lander,Zohran Kwame Mamdani,Zellnor Myrie,Adrienne E. Adams,,619
Andrew M. Cuomo,Andrew M. Cuomo,,,,614
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Zellnor Myrie,Selma K. Bartholomew,611
Brad Lander,Adrienne E. Adams,Zellnor Myrie,Michael Blake,,604
Scott M. Stringer,Andrew M. Cuomo,,,,602
Zohran Kwame Mamdani,Jessica Ramos,,,,596
Zohran Kwame Mamdani,Brad Lander,Michael Blake,Adrienne E. Adams,Scott M. Stringer,594
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Zellnor Myrie,,590
Zohran Kwame Mamdani,Adrienne E. Adams,Brad Lander,Michael Blake,Zellnor Myrie,590
Zohran Kwame Mamdani,Michael Blake,Brad Lander,Zellnor Myrie,Adrienne E. Adams,582
Andrew M. Cuomo,Jenifer Rajkumar,,,,581
Zohran Kwame Mamdani,Brad Lander,Adrienne E. Adams,Jessica Ramos,Scott M. Stringer,578
Brad Lander,Adrienne E. Adams,Zohran Kwame Mamdani,Zellnor Myrie,Scott M. Stringer,577
Zohran Kwame Mamdani,Brad Lander,Scott M. Stringer,Adrienne E. Adams,Jessica Ramos,571
Zohran Kwame Mamdani,Paperboy Love Prince,,,,558
Brad Lander,Adrienne E. Adams,Andrew M. Cuomo,,,552
Brad Lander,Zohran Kwame Mamdani,Adrienne E. Adams,Zellnor Myrie,Jessica Ramos,551
Brad Lander,Zohran Kwame Mamdani,Andrew M. Cuomo,,,546
